Date,Code,Open,High,Low,Close,Preclose,Volume,Amount,adjustflag,Turn,tradestatus,pctChg,isST
2020-07-01,sh.601899,4.4700,4.7000,4.4700,4.5900,4.4000,336231584,1543257513.0000,3,1.711900,1,4.318200,0
2020-07-02,sh.601899,4.5100,4.6500,4.5100,4.6200,4.5900,272079408,1252357766.0000,3,1.385300,1,0.653600,0
2020-07-03,sh.601899,4.6000,4.7900,4.5800,4.7500,4.6200,330125520,1558853698.0000,3,1.680900,1,2.813900,0
2020-07-06,sh.601899,4.7700,5.1300,4.7700,5.1100,4.7500,525666208,2642327770.0000,3,2.676500,1,7.579000,0
2020-07-07,sh.601899,5.2000,5.4500,5.1200,5.1300,5.1100,463256288,2435377392.0000,3,2.358700,1,0.391400,0
2020-07-08,sh.601899,5.1600,5.6000,5.1400,5.5800,5.1300,565314768,3057825693.0000,3,2.878300,1,8.771900,0
2020-07-09,sh.601899,5.6500,6.1400,5.6500,6.1400,5.5800,690230768,4116056290.0000,3,3.514400,1,10.035800,0
2020-07-10,sh.601899,6.0000,6.0000,5.6400,5.6600,6.1400,623383168,3614792120.0000,3,3.174000,1,-7.817600,0
2020-07-13,sh.601899,5.8300,6.0700,5.8100,6.0000,5.6600,576155696,3431960881.0000,3,2.933500,1,6.007100,0
2020-07-14,sh.601899,5.7800,5.9500,5.7000,5.8200,6.0000,426061472,2469490567.0000,3,2.169300,1,-3.000000,0
2020-07-15,sh.601899,5.8500,5.9400,5.6000,5.6500,5.8200,368158624,2111417755.0000,3,1.874500,1,-2.921000,0
2020-07-16,sh.601899,5.5800,5.7800,5.4000,5.4400,5.6500,308009088,1726210139.0000,3,1.568200,1,-3.716800,0
2020-07-17,sh.601899,5.3000,5.4400,5.2100,5.3500,5.3400,243140716,1299330891.0000,3,1.238000,1,0.187300,0
2020-07-20,sh.601899,5.4600,5.6200,5.4200,5.6100,5.3500,380512080,2110951004.0000,3,1.937400,1,4.859800,0
2020-07-21,sh.601899,5.7100,5.7800,5.6000,5.6800,5.6100,298565088,1701371308.4700,3,1.520200,1,1.247800,0
2020-07-22,sh.601899,6.0100,6.0800,5.8200,5.8500,5.6800,383973296,2275999069.6800,3,1.955000,1,2.993000,0
2020-07-23,sh.601899,5.9300,5.9500,5.6200,5.8200,5.8500,305906640,1772895845.7300,3,1.557500,1,-0.512800,0
2020-07-24,sh.601899,5.7800,5.8700,5.5400,5.6300,5.8200,359066864,2047695723.2600,3,1.828200,1,-3.264600,0
2020-07-27,sh.601899,5.7700,6.0400,5.6900,6.0200,5.6300,581687440,3458036747.2800,3,2.961700,1,6.927200,0
2020-07-28,sh.601899,6.2300,6.3000,5.7000,5.7600,6.0200,641076128,3836954516.6700,3,3.264100,1,-4.318900,0
2020-07-29,sh.601899,5.7600,5.7900,5.5800,5.7400,5.7600,419692240,2381905024.2900,3,2.136900,1,-0.347200,0
2020-07-30,sh.601899,5.7700,5.8600,5.6300,5.6500,5.7400,294110304,1681310716.0500,3,1.497500,1,-1.567900,0
2020-07-31,sh.601899,5.7000,5.8500,5.6300,5.8500,5.6500,349910752,2013444108.5700,3,1.781600,1,3.539800,0
2020-08-03,sh.601899,5.8000,5.8800,5.7100,5.8400,5.8500,300128608,1741028418.0300,3,1.528100,1,-0.170900,0
2020-08-04,sh.601899,5.8300,5.9500,5.7600,5.7900,5.8400,285044608,1660603526.5100,3,1.451300,1,-0.856200,0
2020-08-05,sh.601899,5.9700,6.0500,5.8200,6.0400,5.7900,471020400,2803206794.7100,3,2.398200,1,4.317800,0
2020-08-06,sh.601899,6.0900,6.6000,6.0800,6.5700,6.0400,718268736,4625912973.3500,3,3.657100,1,8.774800,0
2020-08-07,sh.601899,6.5700,6.9800,6.5100,6.6400,6.5700,728252320,4919137309.3600,3,3.707900,1,1.065400,0
2020-08-10,sh.601899,6.3700,6.4300,6.2000,6.3300,6.6400,408542640,2572469568.7800,3,2.080100,1,-4.668700,0
2020-08-11,sh.601899,6.2000,6.3500,6.0000,6.0300,6.3300,398065552,2455260277.7800,3,2.026800,1,-4.739300,0
2020-08-12,sh.601899,5.5900,5.7600,5.4400,5.7000,6.0300,596546480,3334005267.9700,3,3.037400,1,-5.472600,0
2020-08-13,sh.601899,5.7100,5.7700,5.6000,5.7200,5.7000,197710106,1125242590.2000,3,1.006700,1,0.350900,0
2020-08-14,sh.601899,5.7400,5.9200,5.7000,5.7800,5.7200,181252163,1051840701.8900,3,0.922900,1,1.049000,0
2020-08-17,sh.601899,5.7500,6.1600,5.6900,6.1100,5.7800,317022000,1886070320.1200,3,1.614100,1,5.709300,0
2020-08-18,sh.601899,6.2700,6.4100,6.1800,6.3600,6.1100,305112736,1926947631.1500,3,1.553500,1,4.091700,0
2020-08-19,sh.601899,6.3600,6.5200,6.2800,6.5000,6.3600,452817744,2904487833.5100,3,2.305600,1,2.201300,0
2020-08-20,sh.601899,6.1900,6.5500,6.1000,6.3200,6.5000,355196080,2238850114.3700,3,1.808500,1,-2.769200,0
2020-08-21,sh.601899,6.3300,6.4000,6.1600,6.2000,6.3200,208846031,1305123835.9500,3,1.063400,1,-1.898700,0
2020-08-24,sh.601899,6.3000,6.8000,6.2600,6.7000,6.2000,492134400,3233027175.8800,3,2.505700,1,8.064500,0
2020-08-25,sh.601899,6.7600,6.7600,6.3400,6.6000,6.7000,368169776,2400064576.7800,3,1.874600,1,-1.492500,0
2020-08-26,sh.601899,6.5300,6.7200,6.4300,6.5300,6.6000,264105493,1732649924.8800,3,1.344700,1,-1.060600,0
2020-08-27,sh.601899,6.6600,6.7100,6.4200,6.4800,6.5300,186834777,1223716663.8000,3,0.951300,1,-0.765700,0
2020-08-28,sh.601899,6.4500,6.6900,6.2900,6.6500,6.4800,259636921,1694238227.8100,3,1.322000,1,2.623500,0
2020-08-31,sh.601899,6.7700,7.3200,6.7600,7.1900,6.6500,746287392,5352225218.7900,3,3.799800,1,8.120300,0
2020-09-01,sh.601899,7.2000,7.4900,7.1500,7.3400,7.1900,444801360,3253480596.7900,3,2.264700,1,2.086200,0
2020-09-02,sh.601899,7.2500,7.3100,7.0200,7.1300,7.3400,346897504,2474034081.2400,3,1.766300,1,-2.861000,0
2020-09-03,sh.601899,7.0100,7.2500,6.9500,7.0600,7.1300,270134576,1923632823.6100,3,1.375400,1,-0.981800,0
2020-09-04,sh.601899,6.9200,7.1900,6.9100,7.0000,7.0600,223535260,1573107055.7800,3,1.138100,1,-0.849900,0
2020-09-07,sh.601899,7.1000,7.4300,6.9700,7.0900,7.0000,350756192,2530520459.8300,3,1.785900,1,1.285700,0
2020-09-08,sh.601899,6.9900,7.1200,6.7100,7.0400,7.0900,305837184,2109194439.3600,3,1.557200,1,-0.705200,0
2020-09-09,sh.601899,6.8400,6.9900,6.7100,6.7300,7.0400,233008778,1585961863.9700,3,1.186400,1,-4.403400,0
2020-09-10,sh.601899,6.9000,7.1700,6.8300,6.9800,6.7300,343475744,2407420871.1500,3,1.748800,1,3.714700,0
2020-09-11,sh.601899,6.9000,6.9600,6.7300,6.9100,6.9800,214292288,1466902454.7300,3,1.091100,1,-1.002900,0
2020-09-14,sh.601899,7.0000,7.2400,6.8500,7.1400,6.9100,286499184,2031960307.2700,3,1.458700,1,3.328500,0
2020-09-15,sh.601899,7.2000,7.2800,7.1100,7.1700,7.1400,237318149,1704384190.4300,3,1.208300,1,0.420200,0
2020-09-16,sh.601899,7.0500,7.1400,6.9200,7.0400,7.1700,168620765,1184866870.9800,3,0.858500,1,-1.813100,0
2020-09-17,sh.601899,6.9800,6.9900,6.7400,6.8000,7.0400,233631054,1594086151.3100,3,1.189500,1,-3.409100,0
2020-09-18,sh.601899,6.8600,7.0500,6.8200,7.0300,6.8000,220922464,1533430239.7400,3,1.124800,1,3.382400,0
2020-09-21,sh.601899,7.0200,7.1100,6.8300,6.8700,7.0300,198003684,1377199172.6900,3,1.008100,1,-2.276000,0
2020-09-22,sh.601899,6.6000,6.7700,6.5100,6.5600,6.8700,281916496,1871226401.1900,3,1.435400,1,-4.512400,0
2020-09-23,sh.601899,6.5800,6.6300,6.3800,6.4500,6.5600,256802497,1660748398.8700,3,1.307500,1,-1.676800,0
2020-09-24,sh.601899,6.2800,6.3000,6.0000,6.0200,6.4500,394361760,2413826183.3900,3,2.007900,1,-6.666700,0
2020-09-25,sh.601899,6.1300,6.2400,6.1000,6.2000,6.0200,220718804,1363147840.0600,3,1.123800,1,2.990000,0
2020-09-28,sh.601899,6.2200,6.2800,6.0900,6.1900,6.2000,155839487,966583391.3800,3,0.793500,1,-0.161300,0
2020-09-29,sh.601899,6.3200,6.4200,6.1600,6.1900,6.1900,208115087,1300959855.1300,3,1.059600,1,0.000000,0
2020-09-30,sh.601899,6.2500,6.2900,6.0700,6.1500,6.1900,160117715,988075369.2600,3,0.815300,1,-0.646200,0
2020-10-09,sh.601899,6.2500,6.2800,6.1500,6.2200,6.1500,255638892,1588025395.0800,3,1.301600,1,1.138200,0
2020-10-12,sh.601899,6.2400,6.5900,6.2400,6.5800,6.2200,283980144,1845566146.8500,3,1.445900,1,5.787800,0
2020-10-13,sh.601899,6.5400,6.6000,6.4200,6.5800,6.5800,143854706,938112526.3500,3,0.732400,1,0.000000,0
2020-10-14,sh.601899,6.4100,6.5400,6.3700,6.4900,6.5800,126964096,820486583.6200,3,0.646400,1,-1.367800,0
2020-10-15,sh.601899,6.5100,6.6700,6.4900,6.5600,6.4900,132363029,871390722.6600,3,0.673900,1,1.078600,0
2020-10-16,sh.601899,6.7000,6.8200,6.5600,6.5900,6.5600,164105665,1094957743.4000,3,0.835600,1,0.457300,0
2020-10-19,sh.601899,6.6000,6.7100,6.4800,6.6800,6.5900,146237282,970042975.2800,3,0.744600,1,1.365700,0
2020-10-20,sh.601899,6.7100,6.8200,6.5700,6.7500,6.6800,181648607,1221323953.8400,3,0.924900,1,1.047900,0
2020-10-21,sh.601899,6.8800,7.0400,6.8800,6.9700,6.7500,250975220,1747918619.6700,3,1.277900,1,3.259300,0
2020-10-22,sh.601899,6.9900,7.0000,6.8600,6.9600,6.9700,132248568,915540070.5200,3,0.673400,1,-0.143500,0
2020-10-23,sh.601899,6.8700,7.0300,6.8600,6.9100,6.9600,123050431,854363384.7100,3,0.626500,1,-0.718400,0
2020-10-26,sh.601899,6.9100,7.0700,6.7700,7.0400,6.9100,187101086,1301961102.8600,3,0.952600,1,1.881300,0
2020-10-27,sh.601899,7.0000,7.1000,6.9800,7.0700,7.0400,125888167,885737458.3100,3,0.641000,1,0.426100,0
2020-10-28,sh.601899,7.0500,7.2300,7.0000,7.1600,7.0700,165674101,1180890656.2100,3,0.843500,1,1.273000,0
2020-10-29,sh.601899,6.9500,7.0800,6.8800,7.0100,7.1600,150836485,1056418008.9300,3,0.768000,1,-2.095000,0
2020-10-30,sh.601899,7.0400,7.2800,6.9500,6.9900,7.0100,196605879,1391936744.9100,3,1.001000,1,-0.285300,0
2020-11-02,sh.601899,7.0700,7.2200,7.0000,7.1900,6.9900,202034380,1447781683.7700,3,1.028700,1,2.861200,0
2020-11-03,sh.601899,7.2600,7.8900,7.2200,7.6500,7.1900,416717744,3170877779.8900,3,2.121700,1,6.397800,0
2020-11-04,sh.601899,7.6500,7.7300,7.5100,7.6700,7.6500,198735271,1518356030.9100,3,1.011900,1,0.261400,0
2020-11-05,sh.601899,7.7400,7.8000,7.5100,7.6600,7.6700,220684641,1687147407.1200,3,1.123600,1,-0.130400,0
2020-11-06,sh.601899,7.8500,8.0300,7.7600,7.9000,7.6600,318343984,2518923528.0200,3,1.620900,1,3.133200,0
2020-11-09,sh.601899,8.0200,8.1700,7.9500,8.1300,7.9000,293704256,2374099304.4400,3,1.495400,1,2.911400,0
2020-11-10,sh.601899,7.7500,7.8600,7.6100,7.7000,8.1300,389531056,3017574704.3400,3,1.983300,1,-5.289100,0
2020-11-11,sh.601899,7.6800,7.7500,7.5000,7.5300,7.7000,223126301,1695610304.3200,3,1.136100,1,-2.207800,0
2020-11-12,sh.601899,7.4700,7.7200,7.3400,7.6700,7.5300,248024070,1876190342.6800,3,1.262800,1,1.859200,0
2020-11-13,sh.601899,7.7000,7.7700,7.5200,7.6400,7.6700,155571312,1189078819.1300,3,0.792100,1,-0.391100,0
2020-11-16,sh.601899,7.7800,8.3000,7.7800,8.1900,7.6400,402642368,3255892343.8700,3,2.050100,1,7.199000,0
2020-11-17,sh.601899,8.1900,8.4100,8.1100,8.2100,8.1900,289942160,2389264146.8100,3,1.476300,1,0.244200,0
2020-11-18,sh.601899,8.1600,8.8600,8.1500,8.4200,8.2100,467088240,3978854137.0800,3,2.378200,1,2.557900,0
2020-11-19,sh.601899,8.3500,8.4300,8.1100,8.3800,8.4200,233169686,1929711760.6300,3,1.187200,1,-0.475100,0
2020-11-20,sh.601899,8.3400,8.9800,8.3000,8.9800,8.3800,341594880,2976508137.3800,3,1.739300,1,7.159900,0
2020-11-23,sh.601899,9.1600,9.4300,8.8200,9.1600,8.9800,490866560,4501613889.7500,3,2.499300,1,2.004500,0
2020-11-24,sh.601899,8.8900,9.1600,8.8100,9.1500,9.1600,368028912,3304259942.3500,3,1.873800,1,-0.109200,0
2020-11-25,sh.601899,9.1200,9.4000,8.6000,8.6200,9.1500,527469520,4694577304.2800,3,2.685600,1,-5.792300,0
2020-11-26,sh.601899,8.6200,8.8600,8.5800,8.8600,8.6200,296723120,2592404150.9400,3,1.510800,1,2.784200,0
2020-11-27,sh.601899,9.0000,9.1000,8.6800,8.9500,8.8600,258483274,2294451402.5000,3,1.316100,1,1.015800,0
2020-11-30,sh.601899,8.9100,9.4700,8.8200,9.2900,8.9500,430307408,3983057662.8400,3,2.190900,1,3.798900,0
2020-12-01,sh.601899,9.1300,9.3900,9.0500,9.3900,9.2900,260739041,2408544751.7000,3,1.327600,1,1.076400,0
2020-12-02,sh.601899,9.5500,9.7000,9.2000,9.3500,9.3900,330162864,3118879122.7300,3,1.681000,1,-0.426000,0
2020-12-03,sh.601899,9.2200,9.2900,8.7700,8.8600,9.3500,377381824,3377235826.7200,3,1.921500,1,-5.240600,0
2020-12-04,sh.601899,8.8800,9.1500,8.7500,9.1300,8.8600,267796859,2408571975.6800,3,1.363500,1,3.047400,0
2020-12-07,sh.601899,9.0700,9.1800,8.7100,8.8100,9.1300,264861178,2348355261.6500,3,1.348600,1,-3.504900,0
2020-12-08,sh.601899,8.9100,9.1300,8.8000,8.9100,8.8100,285706864,2557945104.4100,3,1.454700,1,1.135100,0
2020-12-09,sh.601899,8.9200,9.0500,8.6800,8.7100,8.9100,234836436,2066947594.3400,3,1.195700,1,-2.244700,0
2020-12-10,sh.601899,8.5100,8.6000,8.2000,8.5500,8.7100,297764688,2506752991.0500,3,1.516100,1,-1.837000,0
2020-12-11,sh.601899,8.8100,8.8400,8.2900,8.4300,8.5500,285486336,2443012610.0300,3,1.453600,1,-1.403500,0
2020-12-14,sh.601899,8.3000,8.5700,8.2000,8.5100,8.4300,191295595,1611031525.6500,3,0.974000,1,0.949000,0
2020-12-15,sh.601899,8.4200,8.4500,8.1100,8.3300,8.5100,285011728,2347146658.8400,3,1.451200,1,-2.115200,0
2020-12-16,sh.601899,8.4300,8.5000,8.1900,8.3800,8.3300,195560638,1632712270.8500,3,0.995700,1,0.600200,0
2020-12-17,sh.601899,8.4100,8.8300,8.3800,8.8300,8.3800,359553632,3111877662.1800,3,1.830700,1,5.369900,0
2020-12-18,sh.601899,8.9500,9.3300,8.9200,9.1900,8.8300,374924512,3428916938.5800,3,1.909000,1,4.077000,0
2020-12-21,sh.601899,9.3300,9.4800,9.1600,9.3900,9.1900,280066576,2615269450.2400,3,1.426000,1,2.176300,0
2020-12-22,sh.601899,9.1800,9.2300,8.7100,8.7500,9.3900,391525600,3516910192.2000,3,1.993500,1,-6.815800,0
2020-12-23,sh.601899,8.6700,8.8500,8.5200,8.7700,8.7500,249846668,2175904493.9500,3,1.272100,1,0.228600,0
2020-12-24,sh.601899,8.8200,9.0700,8.8200,8.9100,8.7700,200987038,1799389702.1700,3,1.023300,1,1.596400,0
2020-12-25,sh.601899,8.9300,9.3000,8.7100,9.2700,8.9100,273356912,2487214500.7900,3,1.391800,1,4.040400,0
2020-12-28,sh.601899,9.3700,9.6500,9.3500,9.4400,9.2700,321029008,3055390719.1800,3,1.634500,1,1.833900,0
2020-12-29,sh.601899,9.5100,9.5500,9.1000,9.1000,9.4400,244064436,2254838141.7600,3,1.242700,1,-3.601700,0
2020-12-30,sh.601899,9.0900,9.3600,8.9900,9.2700,9.1000,245102232,2258500596.8500,3,1.248000,1,1.868100,0
2020-12-31,sh.601899,9.3200,9.4300,9.1600,9.2900,9.2700,243889964,2267849820.4400,3,1.241800,1,0.215700,0
2021-01-04,sh.601899,9.4200,10.1700,9.3800,10.0400,9.2900,445168336,4361922843.4800,3,2.266600,1,8.073200,0
2021-01-05,sh.601899,10.0900,10.2500,9.8500,10.2100,10.0400,362738176,3659225116.9700,3,1.846900,1,1.693200,0
2021-01-06,sh.601899,10.4500,10.7900,10.3100,10.5000,10.2100,382786000,4029757962.3200,3,1.949000,1,2.840400,0
2021-01-07,sh.601899,10.4300,11.3200,10.3800,11.1800,10.5000,447954128,4908866977.9200,3,2.280800,1,6.476200,0
2021-01-08,sh.601899,11.4000,11.5200,10.9000,11.3500,11.1800,389430576,4344575344.1500,3,1.982800,1,1.520600,0
2021-01-11,sh.601899,10.9000,11.1200,10.5000,10.6700,11.3500,471688816,5095583003.8300,3,2.401600,1,-5.991200,0
2021-01-12,sh.601899,10.3000,10.9000,10.2300,10.9000,10.6700,330386256,3497531107.5900,3,1.682200,1,2.155600,0
2021-01-13,sh.601899,10.9200,11.5600,10.5100,10.6800,10.9000,446550144,4931502129.4500,3,2.273600,1,-2.018300,0
2021-01-14,sh.601899,10.6200,10.7200,10.3100,10.4300,10.6800,248924015,2614963250.4800,3,1.267400,1,-2.340800,0
2021-01-15,sh.601899,10.5900,10.8800,10.2400,10.5600,10.4300,265911595,2800597213.3200,3,1.353900,1,1.246400,0
2021-01-18,sh.601899,10.3000,10.7100,9.9300,10.6900,10.5600,297687280,3080365298.2300,3,1.515700,1,1.231100,0
2021-01-19,sh.601899,10.5500,10.7400,10.1400,10.2800,10.6900,241515575,2515421369.5600,3,1.229700,1,-3.835400,0
2021-01-20,sh.601899,10.2800,10.6600,10.2800,10.5600,10.2800,207543682,2181268564.8500,3,1.056700,1,2.723700,0
2021-01-21,sh.601899,10.7000,11.1500,10.6200,10.9700,10.5600,327400496,3571286802.9300,3,1.667000,1,3.882600,0
2021-01-22,sh.601899,10.8700,10.9900,10.6600,10.8300,10.9700,209061346,2266390398.4400,3,1.064400,1,-1.276200,0
2021-01-25,sh.601899,10.8400,11.3400,10.7200,11.0500,10.8300,302129488,3350992978.3400,3,1.538300,1,2.031400,0
2021-01-26,sh.601899,11.0000,11.0000,10.5100,10.7400,11.0500,268877456,2893638773.5700,3,1.369000,1,-2.805400,0
2021-01-27,sh.601899,10.7900,10.9200,10.1500,10.4200,10.7400,264593333,2751539537.0700,3,1.347200,1,-2.979500,0
2021-01-28,sh.601899,10.0000,10.2100,9.6000,9.6800,10.4200,351893776,3475714738.3600,3,1.791700,1,-7.101700,0
2021-01-29,sh.601899,9.9000,10.0000,9.3100,9.6000,9.6800,277139968,2676524826.4500,3,1.411100,1,-0.826400,0
2021-02-01,sh.601899,9.9400,10.4800,9.8200,10.4400,9.6000,355225248,3610966764.2900,3,1.808700,1,8.750000,0
2021-02-02,sh.601899,10.4800,10.8900,10.3300,10.8000,10.4400,280799952,2988213539.1400,3,1.429700,1,3.448300,0
2021-02-03,sh.601899,10.5900,10.7600,10.2500,10.4900,10.8000,281468912,2949954723.5600,3,1.433100,1,-2.870400,0
2021-02-04,sh.601899,10.5000,10.5600,10.0300,10.1500,10.4900,186606141,1910565322.4000,3,0.950100,1,-3.241200,0
2021-02-05,sh.601899,9.9900,10.3400,9.7300,9.8000,10.1500,263340422,2621783114.6800,3,1.340800,1,-3.448300,0
